beta,sigma,kappa,phi_pi,phi_x,sig_d,sig_s,sig_m
0.9967656783460486,2.332558573765608,0.3802375621400447,1.086205857883473,0.12280979354081571,3.2450527357555408,2.153467339549053,1.9922930611374126
0.9967656783460486,2.332558573765608,0.3802375621400447,1.086205857883473,0.12280979354081571,3.2450527357555408,2.153467339549053,1.9922930611374126
0.9967656783460486,2.332558573765608,0.3802375621400447,1.086205857883473,0.12280979354081571,3.2450527357555408,2.153467339549053,1.9922930611374126
0.9967656783460486,2.332558573765608,0.3802375621400447,1.086205857883473,0.12280979354081571,3.2450527357555408,2.153467339549053,1.9922930611374126
0.9967656783460486,2.332558573765608,0.3802375621400447,1.086205857883473,0.12280979354081571,3.2450527357555408,2.153467339549053,1.9922930611374126
0.9968221356643937,2.1730327764026676,0.39896920577102957,1.0834546582962008,0.13294413537357827,3.1465542467934053,2.3241424108486797,1.9646986210987498
0.996834012482785,2.068137811328779,0.41076435866077243,1.1310685101715638,0.14245353740389352,3.3211972425409755,2.2897233649660786,1.9523928795298333
0.996834012482785,2.068137811328779,0.41076435866077243,1.1310685101715638,0.14245353740389352,3.3211972425409755,2.2897233649660786,1.9523928795298333
0.996834012482785,2.068137811328779,0.41076435866077243,1.1310685101715638,0.14245353740389352,3.3211972425409755,2.2897233649660786,1.9523928795298333
0.9965891986718494,1.9194757544963568,0.38299754986356604,1.1501094622231702,0.14715830239665,3.4983088240978266,2.307427770074294,1.899989516769339
0.9965891986718494,1.9194757544963568,0.38299754986356604,1.1501094622231702,0.14715830239665,3.4983088240978266,2.307427770074294,1.899989516769339
0.9965891986718494,1.9194757544963568,0.38299754986356604,1.1501094622231702,0.14715830239665,3.4983088240978266,2.307427770074294,1.899989516769339
0.9965831774751228,1.983406811757667,0.4956062757022723,1.0881649606168167,0.16256500960098919,3.6198247147456843,2.486613589977922,1.897917641258003
0.9965831774751228,1.983406811757667,0.4956062757022723,1.0881649606168167,0.16256500960098919,3.6198247147456843,2.486613589977922,1.897917641258003
0.9965831774751228,1.983406811757667,0.4956062757022723,1.0881649606168167,0.16256500960098919,3.6198247147456843,2.486613589977922,1.897917641258003
0.9965831774751228,1.983406811757667,0.4956062757022723,1.0881649606168167,0.16256500960098919,3.6198247147456843,2.486613589977922,1.897917641258003
0.9964933041143061,1.836406315916683,0.5089258255549624,1.1089893212736017,0.1504577389994501,3.3030807954343837,2.4926597892672056,2.0031745619223265
0.9960145761312637,1.88663936603375,0.46576282431450683,1.203789176200348,0.1365129535044404,3.4111858112114506,2.647314333812119,2.0540907742227827
0.9960145761312637,1.88663936603375,0.46576282431450683,1.203789176200348,0.1365129535044404,3.4111858112114506,2.647314333812119,2.0540907742227827
0.9960145761312637,1.88663936603375,0.46576282431450683,1.203789176200348,0.1365129535044404,3.4111858112114506,2.647314333812119,2.0540907742227827
0.9960145761312637,1.88663936603375,0.46576282431450683,1.203789176200348,0.1365129535044404,3.4111858112114506,2.647314333812119,2.0540907742227827
0.995633664676515,1.839030220993592,0.4831203680640802,1.1388635569219998,0.13667577270992645,3.3688128650170195,2.5545433761680885,1.9445725479811926
0.995633664676515,1.839030220993592,0.4831203680640802,1.1388635569219998,0.13667577270992645,3.3688128650170195,2.5545433761680885,1.9445725479811926
0.995633664676515,1.839030220993592,0.4831203680640802,1.1388635569219998,0.13667577270992645,3.3688128650170195,2.5545433761680885,1.9445725479811926
0.995633664676515,1.839030220993592,0.4831203680640802,1.1388635569219998,0.13667577270992645,3.3688128650170195,2.5545433761680885,1.9445725479811926
0.995633664676515,1.839030220993592,0.4831203680640802,1.1388635569219998,0.13667577270992645,3.3688128650170195,2.5545433761680885,1.9445725479811926
0.995633664676515,1.839030220993592,0.4831203680640802,1.1388635569219998,0.13667577270992645,3.3688128650170195,2.5545433761680885,1.9445725479811926
0.995633664676515,1.839030220993592,0.4831203680640802,1.1388635569219998,0.13667577270992645,3.3688128650170195,2.5545433761680885,1.9445725479811926
0.9955147290701297,1.9916711578027815,0.4911687150746945,1.1533739186704999,0.13119792109388342,3.4395061228696484,2.5052210463750937,1.8439428244759446
0.9955147290701297,1.9916711578027815,0.4911687150746945,1.1533739186704999,0.13119792109388342,3.4395061228696484,2.5052210463750937,1.8439428244759446
0.9955147290701297,1.9916711578027815,0.4911687150746945,1.1533739186704999,0.13119792109388342,3.4395061228696484,2.5052210463750937,1.8439428244759446
0.995992159658135,1.9458376866179417,0.45619247307672367,1.0850311619257957,0.13749217600349384,3.5618782832480673,2.1492234580533314,1.7680154628209934
0.9960732383013635,1.9773501432693033,0.434170210974199,1.1424910968459532,0.13748887145798275,3.8162249198205354,2.206955161115237,1.8062375200878666
0.9960732383013635,1.9773501432693033,0.434170210974199,1.1424910968459532,0.13748887145798275,3.8162249198205354,2.206955161115237,1.8062375200878666
0.9960732383013635,1.9773501432693033,0.434170210974199,1.1424910968459532,0.13748887145798275,3.8162249198205354,2.206955161115237,1.8062375200878666
