h,gamma_pi,rho_i,phi_pi,phi_x,rho_z,rho_u,rho_m,sig_z,sig_u,sig_m
0.6514555796634752,0.2958539576888119,0.7567384659136989,1.7397847921953984,0.25191013606520296,0.759212463293495,0.5978923317989656,0.35722564833240583,0.1923102024261552,0.1224843631371036,0.07986803613285705
0.6514555796634752,0.2958539576888119,0.7567384659136989,1.7397847921953984,0.25191013606520296,0.759212463293495,0.5978923317989656,0.35722564833240583,0.1923102024261552,0.1224843631371036,0.07986803613285705
0.6514555796634752,0.2958539576888119,0.7567384659136989,1.7397847921953984,0.25191013606520296,0.759212463293495,0.5978923317989656,0.35722564833240583,0.1923102024261552,0.1224843631371036,0.07986803613285705
0.6514555796634752,0.2958539576888119,0.7567384659136989,1.7397847921953984,0.25191013606520296,0.759212463293495,0.5978923317989656,0.35722564833240583,0.1923102024261552,0.1224843631371036,0.07986803613285705
0.6514555796634752,0.2958539576888119,0.7567384659136989,1.7397847921953984,0.25191013606520296,0.759212463293495,0.5978923317989656,0.35722564833240583,0.1923102024261552,0.1224843631371036,0.07986803613285705
0.6514555796634752,0.2958539576888119,0.7567384659136989,1.7397847921953984,0.25191013606520296,0.759212463293495,0.5978923317989656,0.35722564833240583,0.1923102024261552,0.1224843631371036,0.07986803613285705
0.6514555796634752,0.2958539576888119,0.7567384659136989,1.7397847921953984,0.25191013606520296,0.759212463293495,0.5978923317989656,0.35722564833240583,0.1923102024261552,0.1224843631371036,0.07986803613285705
0.6514555796634752,0.2958539576888119,0.7567384659136989,1.7397847921953984,0.25191013606520296,0.759212463293495,0.5978923317989656,0.35722564833240583,0.1923102024261552,0.1224843631371036,0.07986803613285705
0.6514555796634752,0.2958539576888119,0.7567384659136989,1.7397847921953984,0.25191013606520296,0.759212463293495,0.5978923317989656,0.35722564833240583,0.1923102024261552,0.1224843631371036,0.07986803613285705
0.6514555796634752,0.2958539576888119,0.7567384659136989,1.7397847921953984,0.25191013606520296,0.759212463293495,0.5978923317989656,0.35722564833240583,0.1923102024261552,0.1224843631371036,0.07986803613285705
0.649326477440022,0.29560280071098677,0.756346451015388,1.74454743049134,0.24982879008553982,0.7604942504108719,0.5996095407222726,0.3592642028479403,0.193063313344072,0.12264019341745369,0.0808084822170492
0.649326477440022,0.29560280071098677,0.756346451015388,1.74454743049134,0.24982879008553982,0.7604942504108719,0.5996095407222726,0.3592642028479403,0.193063313344072,0.12264019341745369,0.0808084822170492
0.649326477440022,0.29560280071098677,0.756346451015388,1.74454743049134,0.24982879008553982,0.7604942504108719,0.5996095407222726,0.3592642028479403,0.193063313344072,0.12264019341745369,0.0808084822170492
0.649326477440022,0.29560280071098677,0.756346451015388,1.74454743049134,0.24982879008553982,0.7604942504108719,0.5996095407222726,0.3592642028479403,0.193063313344072,0.12264019341745369,0.0808084822170492
0.649326477440022,0.29560280071098677,0.756346451015388,1.74454743049134,0.24982879008553982,0.7604942504108719,0.5996095407222726,0.3592642028479403,0.193063313344072,0.12264019341745369,0.0808084822170492
0.649326477440022,0.29560280071098677,0.756346451015388,1.74454743049134,0.24982879008553982,0.7604942504108719,0.5996095407222726,0.3592642028479403,0.193063313344072,0.12264019341745369,0.0808084822170492
0.6522096478558359,0.29954973716291944,0.7539322583281912,1.7522626195652746,0.2510178813041936,0.7577567760682902,0.599256358110561,0.35594348678997506,0.19197849872671763,0.12293703325212138,0.08207762432401938
0.6532200974471177,0.29928013548682547,0.7531220294043112,1.7504899720358253,0.24984298624716894,0.7577671765017809,0.597332224677553,0.3597121794589272,0.19111622522848487,0.12172742417893266,0.0834095161633588
0.6532200974471177,0.29928013548682547,0.7531220294043112,1.7504899720358253,0.24984298624716894,0.7577671765017809,0.597332224677553,0.3597121794589272,0.19111622522848487,0.12172742417893266,0.0834095161633588
0.6532200974471177,0.29928013548682547,0.7531220294043112,1.7504899720358253,0.24984298624716894,0.7577671765017809,0.597332224677553,0.3597121794589272,0.19111622522848487,0.12172742417893266,0.0834095161633588
0.6532200974471177,0.29928013548682547,0.7531220294043112,1.7504899720358253,0.24984298624716894,0.7577671765017809,0.597332224677553,0.3597121794589272,0.19111622522848487,0.12172742417893266,0.0834095161633588
0.6532200974471177,0.29928013548682547,0.7531220294043112,1.7504899720358253,0.24984298624716894,0.7577671765017809,0.597332224677553,0.3597121794589272,0.19111622522848487,0.12172742417893266,0.0834095161633588
0.6537007873549558,0.3002880091415074,0.7536027338331523,1.7467473039596317,0.24940166993261648,0.7544016437777533,0.5993595969019191,0.3603662754426743,0.18949990366229283,0.12026094219461417,0.08110296777459125
0.6537007873549558,0.3002880091415074,0.7536027338331523,1.7467473039596317,0.24940166993261648,0.7544016437777533,0.5993595969019191,0.3603662754426743,0.18949990366229283,0.12026094219461417,0.08110296777459125
0.6537007873549558,0.3002880091415074,0.7536027338331523,1.7467473039596317,0.24940166993261648,0.7544016437777533,0.5993595969019191,0.3603662754426743,0.18949990366229283,0.12026094219461417,0.08110296777459125
0.6529960438408876,0.3001766107520571,0.7526488352771914,1.734293087142697,0.25069312372367814,0.7534354065447838,0.5947008020645461,0.3629855662431193,0.18981539373195064,0.11971787254729946,0.08072209159192838
