rho_i,phi_pi,phi_x,phi_q,rho_q,rho_r,rho_u,rho_m,sig_q,sig_r,sig_u,sig_m
0.7964308395726496,1.564382883917949,0.20970497209309716,0.0938771301546843,0.7549505450069441,0.7948419784843178,0.5219096384564563,0.2977358771111928,0.09960610108098929,0.150569748626563,0.1099224770704646,0.06755359170885994
0.7937773604340137,1.5346207158356289,0.2054625462971945,0.09416525960876267,0.7551920481063951,0.7981652663436902,0.5249334610663043,0.3014424901568431,0.10090109758476311,0.15091009703987998,0.11007514599336088,0.06689287766872247
0.7937773604340137,1.5346207158356289,0.2054625462971945,0.09416525960876267,0.7551920481063951,0.7981652663436902,0.5249334610663043,0.3014424901568431,0.10090109758476311,0.15091009703987998,0.11007514599336088,0.06689287766872247
0.7937773604340137,1.5346207158356289,0.2054625462971945,0.09416525960876267,0.7551920481063951,0.7981652663436902,0.5249334610663043,0.3014424901568431,0.10090109758476311,0.15091009703987998,0.11007514599336088,0.06689287766872247
0.7937773604340137,1.5346207158356289,0.2054625462971945,0.09416525960876267,0.7551920481063951,0.7981652663436902,0.5249334610663043,0.3014424901568431,0.10090109758476311,0.15091009703987998,0.11007514599336088,0.06689287766872247
0.7937773604340137,1.5346207158356289,0.2054625462971945,0.09416525960876267,0.7551920481063951,0.7981652663436902,0.5249334610663043,0.3014424901568431,0.10090109758476311,0.15091009703987998,0.11007514599336088,0.06689287766872247
0.7937773604340137,1.5346207158356289,0.2054625462971945,0.09416525960876267,0.7551920481063951,0.7981652663436902,0.5249334610663043,0.3014424901568431,0.10090109758476311,0.15091009703987998,0.11007514599336088,0.06689287766872247
0.7945132348664881,1.5212630148822883,0.20121910700724466,0.09371877693045892,0.7558700847047081,0.7956504335893322,0.5290994048441021,0.30607818554456534,0.10289681291730045,0.1497971827358854,0.11046717535102966,0.06802515903678333
0.7945132348664881,1.5212630148822883,0.20121910700724466,0.09371877693045892,0.7558700847047081,0.7956504335893322,0.5290994048441021,0.30607818554456534,0.10289681291730045,0.1497971827358854,0.11046717535102966,0.06802515903678333
0.7916333697937725,1.538244434631668,0.20514772208962379,0.09610782108590459,0.7557687385740769,0.7967357452064333,0.5321210183488736,0.30626922494451275,0.10254831474731572,0.1492174002549171,0.11390348298370652,0.06778170671303259
0.7916333697937725,1.538244434631668,0.20514772208962379,0.09610782108590459,0.7557687385740769,0.7967357452064333,0.5321210183488736,0.30626922494451275,0.10254831474731572,0.1492174002549171,0.11390348298370652,0.06778170671303259
0.7921952060143483,1.5480615529105843,0.20259411376612374,0.09591106065451231,0.7574999587643153,0.7951122280983683,0.5329561332919125,0.30045989862990063,0.1018379354678347,0.1487533151201819,0.11282542681174046,0.06673903959560984
0.7921952060143483,1.5480615529105843,0.20259411376612374,0.09591106065451231,0.7574999587643153,0.7951122280983683,0.5329561332919125,0.30045989862990063,0.1018379354678347,0.1487533151201819,0.11282542681174046,0.06673903959560984
0.7921952060143483,1.5480615529105843,0.20259411376612374,0.09591106065451231,0.7574999587643153,0.7951122280983683,0.5329561332919125,0.30045989862990063,0.1018379354678347,0.1487533151201819,0.11282542681174046,0.06673903959560984
0.7921952060143483,1.5480615529105843,0.20259411376612374,0.09591106065451231,0.7574999587643153,0.7951122280983683,0.5329561332919125,0.30045989862990063,0.1018379354678347,0.1487533151201819,0.11282542681174046,0.06673903959560984
0.7956342334233382,1.5562347631205102,0.20473888583036084,0.09559087992633165,0.762966436390271,0.7930260591525725,0.5357275494570097,0.29920255705145216,0.10150404173245056,0.15036024318631103,0.11321051341929324,0.06778984262351259
0.7956342334233382,1.5562347631205102,0.20473888583036084,0.09559087992633165,0.762966436390271,0.7930260591525725,0.5357275494570097,0.29920255705145216,0.10150404173245056,0.15036024318631103,0.11321051341929324,0.06778984262351259
0.7956342334233382,1.5562347631205102,0.20473888583036084,0.09559087992633165,0.762966436390271,0.7930260591525725,0.5357275494570097,0.29920255705145216,0.10150404173245056,0.15036024318631103,0.11321051341929324,0.06778984262351259
0.7956342334233382,1.5562347631205102,0.20473888583036084,0.09559087992633165,0.762966436390271,0.7930260591525725,0.5357275494570097,0.29920255705145216,0.10150404173245056,0.15036024318631103,0.11321051341929324,0.06778984262351259
0.7956342334233382,1.5562347631205102,0.20473888583036084,0.09559087992633165,0.762966436390271,0.7930260591525725,0.5357275494570097,0.29920255705145216,0.10150404173245056,0.15036024318631103,0.11321051341929324,0.06778984262351259
0.7956342334233382,1.5562347631205102,0.20473888583036084,0.09559087992633165,0.762966436390271,0.7930260591525725,0.5357275494570097,0.29920255705145216,0.10150404173245056,0.15036024318631103,0.11321051341929324,0.06778984262351259
0.7956342334233382,1.5562347631205102,0.20473888583036084,0.09559087992633165,0.762966436390271,0.7930260591525725,0.5357275494570097,0.29920255705145216,0.10150404173245056,0.15036024318631103,0.11321051341929324,0.06778984262351259
0.7956342334233382,1.5562347631205102,0.20473888583036084,0.09559087992633165,0.762966436390271,0.7930260591525725,0.5357275494570097,0.29920255705145216,0.10150404173245056,0.15036024318631103,0.11321051341929324,0.06778984262351259
0.796929946392597,1.5673332723701257,0.2041673145632973,0.09761839053605231,0.7639984647515861,0.7927340969403938,0.535055739926018,0.299425478312938,0.10111966486407933,0.15189558607389184,0.11230700513117907,0.06856879073133461
0.7978021631863635,1.594587644604428,0.2013739584790602,0.09442605739044063,0.7667822421666316,0.7982507222115891,0.5328438160499429,0.29422661529461597,0.10199075329943771,0.15426176373614908,0.11090773011964634,0.07006085172831099
0.7978021631863635,1.594587644604428,0.2013739584790602,0.09442605739044063,0.7667822421666316,0.7982507222115891,0.5328438160499429,0.29422661529461597,0.10199075329943771,0.15426176373614908,0.11090773011964634,0.07006085172831099
0.7978021631863635,1.594587644604428,0.2013739584790602,0.09442605739044063,0.7667822421666316,0.7982507222115891,0.5328438160499429,0.29422661529461597,0.10199075329943771,0.15426176373614908,0.11090773011964634,0.07006085172831099
0.7978021631863635,1.594587644604428,0.2013739584790602,0.09442605739044063,0.7667822421666316,0.7982507222115891,0.5328438160499429,0.29422661529461597,0.10199075329943771,0.15426176373614908,0.11090773011964634,0.07006085172831099
0.7978021631863635,1.594587644604428,0.2013739584790602,0.09442605739044063,0.7667822421666316,0.7982507222115891,0.5328438160499429,0.29422661529461597,0.10199075329943771,0.15426176373614908,0.11090773011964634,0.07006085172831099
0.7978021631863635,1.594587644604428,0.2013739584790602,0.09442605739044063,0.7667822421666316,0.7982507222115891,0.5328438160499429,0.29422661529461597,0.10199075329943771,0.15426176373614908,0.11090773011964634,0.07006085172831099
0.7978021631863635,1.594587644604428,0.2013739584790602,0.09442605739044063,0.7667822421666316,0.7982507222115891,0.5328438160499429,0.29422661529461597,0.10199075329943771,0.15426176373614908,0.11090773011964634,0.07006085172831099
0.7978021631863635,1.594587644604428,0.2013739584790602,0.09442605739044063,0.7667822421666316,0.7982507222115891,0.5328438160499429,0.29422661529461597,0.10199075329943771,0.15426176373614908,0.11090773011964634,0.07006085172831099
0.7978021631863635,1.594587644604428,0.2013739584790602,0.09442605739044063,0.7667822421666316,0.7982507222115891,0.5328438160499429,0.29422661529461597,0.10199075329943771,0.15426176373614908,0.11090773011964634,0.07006085172831099
0.7978021631863635,1.594587644604428,0.2013739584790602,0.09442605739044063,0.7667822421666316,0.7982507222115891,0.5328438160499429,0.29422661529461597,0.10199075329943771,0.15426176373614908,0.11090773011964634,0.07006085172831099
0.7978021631863635,1.594587644604428,0.2013739584790602,0.09442605739044063,0.7667822421666316,0.7982507222115891,0.5328438160499429,0.29422661529461597,0.10199075329943771,0.15426176373614908,0.11090773011964634,0.07006085172831099
0.7978021631863635,1.594587644604428,0.2013739584790602,0.09442605739044063,0.7667822421666316,0.7982507222115891,0.5328438160499429,0.29422661529461597,0.10199075329943771,0.15426176373614908,0.11090773011964634,0.07006085172831099
0.7978021631863635,1.594587644604428,0.2013739584790602,0.09442605739044063,0.7667822421666316,0.7982507222115891,0.5328438160499429,0.29422661529461597,0.10199075329943771,0.15426176373614908,0.11090773011964634,0.07006085172831099
0.7957328997657882,1.5807050792540154,0.20103974739841837,0.09470744357295385,0.7636288108282145,0.7973354866740063,0.5238248471773691,0.2978016274577672,0.10176933054680837,0.1565522250481264,0.11056025486956562,0.07071147195089116
