sig_d,sig_s,sig_m,beta,sigma,kappa,phi_pi,phi_x,log_posterior
3.090131058159697,2.291488450218182,1.9794768246502352,0.9940512846120161,2.505409075477202,0.2585613170287292,1.0420745853415236,0.12229916614085598,-588.5274355224908
3.090131058159697,2.291488450218182,1.9794768246502352,0.9940512846120161,2.505409075477202,0.2585613170287292,1.0420745853415236,0.12229916614085598,-588.5274355224908
3.090131058159697,2.291488450218182,1.9794768246502352,0.9940512846120161,2.505409075477202,0.2585613170287292,1.0420745853415236,0.12229916614085598,-588.5274355224908
3.090131058159697,2.291488450218182,1.9794768246502352,0.9940512846120161,2.505409075477202,0.2585613170287292,1.0420745853415236,0.12229916614085598,-588.5274355224908
3.2884395221932525,2.2284746135242965,2.0193107111783877,0.9925963384236562,2.5370550766964652,0.21611529166226057,1.004612644878189,0.13490888280705426,-588.9230306536508
3.2884395221932525,2.2284746135242965,2.0193107111783877,0.9925963384236562,2.5370550766964652,0.21611529166226057,1.004612644878189,0.13490888280705426,-588.9230306536508
3.2884395221932525,2.2284746135242965,2.0193107111783877,0.9925963384236562,2.5370550766964652,0.21611529166226057,1.004612644878189,0.13490888280705426,-588.9230306536508
3.5483126719973357,2.430441740669626,2.0310975952853405,0.9949043822237962,2.4655848664953393,0.2573614490360534,1.0743143294675945,0.12664081465004634,-590.1882031303301
3.6222334133641794,2.271273441295028,1.931048911614328,0.9921942549040957,2.3858841577150853,0.18797690865487754,1.063430363858153,0.10466602019619764,-590.8760944910687
3.6222334133641794,2.271273441295028,1.931048911614328,0.9921942549040957,2.3858841577150853,0.18797690865487754,1.063430363858153,0.10466602019619764,-590.8760944910687
3.6222334133641794,2.271273441295028,1.931048911614328,0.9921942549040957,2.3858841577150853,0.18797690865487754,1.063430363858153,0.10466602019619764,-590.8760944910687
3.6222334133641794,2.271273441295028,1.931048911614328,0.9921942549040957,2.3858841577150853,0.18797690865487754,1.063430363858153,0.10466602019619764,-590.8760944910687
3.497829444300786,2.236479977091162,1.9823591033517094,0.997288327687212,2.8040032978556733,0.11617939562391676,1.085237172412001,0.13527908662788363,-593.6923227404942
3.5704803650578434,2.243492855559314,1.9373649492898015,0.9976166919415242,2.317337026842875,0.23446103070027136,1.1127941614273165,0.10768372960146422,-591.6015542926211
3.5704803650578434,2.243492855559314,1.9373649492898015,0.9976166919415242,2.317337026842875,0.23446103070027136,1.1127941614273165,0.10768372960146422,-591.6015542926211
3.5704803650578434,2.243492855559314,1.9373649492898015,0.9976166919415242,2.317337026842875,0.23446103070027136,1.1127941614273165,0.10768372960146422,-591.6015542926211
3.5704803650578434,2.243492855559314,1.9373649492898015,0.9976166919415242,2.317337026842875,0.23446103070027136,1.1127941614273165,0.10768372960146422,-591.6015542926211
